date,home,away,home_score,away_score,actual_total,actual_winner,model_pick,home_win_pct,away_win_pct,ml_correct,confidence,xTotal_Runs,runs_error,rl_cover,xruns_vs_actual
2026-04-16,Detroit Tigers,Kansas City Royals,10,9,19,Detroit Tigers,Detroit Tigers,77.6,22.4,True,77.6,8.96,10.04,False,UNDER
2026-04-16,New York Yankees,Los Angeles Angels,4,11,15,Los Angeles Angels,New York Yankees,69.4,30.6,False,69.4,8.31,6.6899999999999995,False,UNDER
2026-04-16,Milwaukee Brewers,Toronto Blue Jays,2,1,3,Milwaukee Brewers,Milwaukee Brewers,61.1,38.9,True,61.1,9.45,6.449999999999999,False,OVER
2026-04-16,Chicago White Sox,Tampa Bay Rays,3,5,8,Tampa Bay Rays,Chicago White Sox,50.9,49.1,False,50.9,10.99,2.99,False,OVER
2026-04-16,Athletics,Texas Rangers,6,9,15,Texas Rangers,Athletics,52.4,47.6,False,52.4,8.9,6.1,False,UNDER
2026-04-16,Cleveland Guardians,Baltimore Orioles,4,2,6,Cleveland Guardians,Cleveland Guardians,56.7,43.3,True,56.7,9.92,3.92,True,OVER
2026-04-16,Houston Astros,Colorado Rockies,2,3,5,Colorado Rockies,Colorado Rockies,49.9,50.1,True,50.1,10.95,5.949999999999999,False,OVER
2026-04-16,San Diego Padres,Seattle Mariners,5,2,7,San Diego Padres,Seattle Mariners,49.9,50.1,False,50.1,6.98,0.019999999999999574,False,UNDER
2026-04-17,Chicago Cubs,New York Mets,12,4,16,Chicago Cubs,Chicago Cubs,76.8,23.2,True,76.8,9.01,6.99,True,UNDER
2026-04-17,Cleveland Guardians,Baltimore Orioles,4,6,10,Baltimore Orioles,Cleveland Guardians,52.1,47.9,False,52.1,10.2,0.1999999999999993,False,OVER
2026-04-17,Philadelphia Phillies,Atlanta Braves,0,9,9,Atlanta Braves,Atlanta Braves,22.4,77.6,True,77.6,9.01,0.009999999999999787,True,OVER
2026-04-17,Washington Nationals,San Francisco Giants,5,10,15,San Francisco Giants,San Francisco Giants,39.4,60.6,True,60.6,7.8,7.2,True,UNDER
2026-04-17,Pittsburgh Pirates,Tampa Bay Rays,5,1,6,Pittsburgh Pirates,Pittsburgh Pirates,62.4,37.6,True,62.4,10.1,4.1,True,OVER
